n,k,m,f_id,tb,function_seed,embedding_seed,dataset_seed,k_max_used,F0_size,F1_size,d,support_true,signs_true,antichain_masks,antichain_sets,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
10,2,2,1,1,21235,2011244,201101435,10,1,1,1,"[5,3]","[-1,-1]",[3],"[[0,1]]",1,[9],[1],0,True
10,2,2,1,2,21235,2011244,201101436,10,1,1,1,"[5,3]","[-1,-1]",[3],"[[0,1]]",1,[5],[-1],0,True
10,2,2,1,3,21235,2011244,201101437,10,1,1,1,"[5,3]","[-1,-1]",[3],"[[0,1]]",1,[8],[-1],0,True
10,2,2,1,4,21235,2011244,201101438,10,1,1,1,"[5,3]","[-1,-1]",[3],"[[0,1]]",1,[8],[1],0,True
10,2,2,1,5,21235,2011244,201101439,10,1,1,1,"[5,3]","[-1,-1]",[3],"[[0,1]]",1,[8],[1],0,True
10,2,4,1,1,21235,2011244,201101635,10,3,1,3,"[5,3]","[-1,-1]",[3],"[[0,1]]",2,"[3,8]","[-1,-1]",0,True
10,2,4,1,2,21235,2011244,201101636,10,2,2,4,"[5,3]","[-1,-1]",[3],"[[0,1]]",1,[0],[1],0,True
10,2,4,1,3,21235,2011244,201101637,10,2,2,4,"[5,3]","[-1,-1]",[3],"[[0,1]]",2,"[2,7]","[1,-1]",0,True
10,2,4,1,4,21235,2011244,201101638,10,2,2,4,"[5,3]","[-1,-1]",[3],"[[0,1]]",2,"[1,7]","[1,1]",0,True
10,2,4,1,5,21235,2011244,201101639,10,3,1,3,"[5,3]","[-1,-1]",[3],"[[0,1]]",1,[3],[-1],0,True
10,2,8,1,1,21235,2011244,201102035,10,5,3,15,"[5,3]","[-1,-1]",[3],"[[0,1]]",1,[5],[-1],0,True
10,2,8,1,2,21235,2011244,201102036,10,6,2,12,"[5,3]","[-1,-1]",[3],"[[0,1]]",2,"[5,7]","[-1,1]",0,True
10,2,8,1,3,21235,2011244,201102037,10,5,3,15,"[5,3]","[-1,-1]",[3],"[[0,1]]",1,[5],[-1],0,True
10,2,8,1,4,21235,2011244,201102038,10,7,1,7,"[5,3]","[-1,-1]",[3],"[[0,1]]",2,"[2,9]","[1,-1]",0,True
10,2,8,1,5,21235,2011244,201102039,10,4,4,16,"[5,3]","[-1,-1]",[3],"[[0,1]]",3,"[1,5,9]","[1,-1,1]",0,True
50,2,2,1,1,21235,2011284,201501435,10,1,1,1,"[1,48]","[-1,-1]",[3],"[[0,1]]",1,[44],[1],0,True
50,2,2,1,2,21235,2011284,201501436,10,1,1,1,"[1,48]","[-1,-1]",[3],"[[0,1]]",1,[24],[-1],0,True
50,2,2,1,3,21235,2011284,201501437,10,1,1,1,"[1,48]","[-1,-1]",[3],"[[0,1]]",1,[4],[-1],0,True
50,2,2,1,4,21235,2011284,201501438,10,1,1,1,"[1,48]","[-1,-1]",[3],"[[0,1]]",1,[42],[1],0,True
50,2,2,1,5,21235,2011284,201501439,10,1,1,1,"[1,48]","[-1,-1]",[3],"[[0,1]]",1,[31],[-1],0,True
50,2,4,1,1,21235,2011284,201501635,10,3,1,3,"[1,48]","[-1,-1]",[3],"[[0,1]]",2,"[5,45]","[1,-1]",0,True
50,2,4,1,2,21235,2011284,201501636,10,3,1,3,"[1,48]","[-1,-1]",[3],"[[0,1]]",1,[5],[1],0,True
50,2,4,1,3,21235,2011284,201501637,10,3,1,3,"[1,48]","[-1,-1]",[3],"[[0,1]]",1,[43],[-1],0,True
