node,n,k,m,tb,dataset_id,dataset_seed,F0_size,F1_size,d,support_true,signs_true,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
Twi,18,2,4,1,0,5235,1,3,3,"[0,1]","[1,1]",1,[17],[1],0,True
Sna,18,1,4,1,0,5235,1,3,3,[0],[1],1,[14],[-1],0,True
Fog,18,2,4,1,0,5235,1,3,3,"[1,2]","[1,1]",1,[5],[1],0,True
FogR,18,1,4,1,0,5235,2,2,4,[3],[1],2,"[5,17]","[1,1]",0,True
Cta,18,1,4,1,0,5235,2,2,4,[4],[1],3,"[3,10,16]","[-1,-1,-1]",0,True
GEF,18,1,4,1,0,5235,1,3,3,[5],[1],1,[13],[1],0,True
Csk,18,1,4,1,0,5235,1,3,3,[5],[1],3,"[0,1,6]","[-1,1,-1]",0,True
Src,18,1,4,1,0,5235,2,2,4,[7],[-1],2,"[6,17]","[-1,-1]",0,True
GAP,18,2,4,1,0,5235,3,1,3,"[8,9]","[1,1]",1,[12],[1],0,True
Rho,18,3,4,1,0,5235,2,2,4,"[6,9,12]","[1,-1,-1]",2,"[1,5]","[1,-1]",0,True
rock,18,1,4,1,0,5235,3,1,3,[10],[1],1,[0],[-1],0,True
GDI,18,1,4,1,0,5235,3,1,3,[13],[-1],1,[5],[-1],0,True
Moe,18,3,4,1,0,5235,3,1,3,"[11,13,14]","[1,1,-1]",2,"[4,13]","[1,1]",0,True
mlcp,18,1,4,1,0,5235,1,3,3,[11],[-1],1,[11],[-1],0,True
mlc,18,3,4,1,0,5235,3,1,3,"[11,14,15]","[1,-1,1]",2,"[4,5]","[1,1]",0,True
Actin,18,2,4,1,0,5235,2,2,4,"[13,16]","[1,1]",1,[4],[-1],0,True
Twi,18,2,4,2,1,5236,3,1,3,"[0,1]","[1,1]",1,[0],[1],0,True
Sna,18,1,4,2,1,5236,3,1,3,[0],[1],1,[0],[1],0,True
Fog,18,2,4,2,1,5236,2,2,4,"[1,2]","[1,1]",3,"[11,14,15]","[1,-1,-1]",0,True
FogR,18,1,4,2,1,5236,2,2,4,[3],[1],2,"[7,14]","[-1,-1]",0,True
Cta,18,1,4,2,1,5236,1,3,3,[4],[1],2,"[1,15]","[1,-1]",0,True
GEF,18,1,4,2,1,5236,3,1,3,[5],[1],1,[2],[1],0,True
Csk,18,1,4,2,1,5236,3,1,3,[5],[1],3,"[1,13,17]","[-1,1,1]",0,True
Src,18,1,4,2,1,5236,3,1,3,[7],[-1],2,"[0,3]","[-1,1]",0,True
GAP,18,2,4,2,1,5236,3,1,3,"[8,9]","[1,1]",1,[12],[1],0,True
Rho,18,3,4,2,1,5236,2,2,4,"[6,9,12]","[1,-1,-1]",2,"[6,9]","[1,-1]",0,True
rock,18,1,4,2,1,5236,2,2,4,[10],[1],1,[10],[1],0,True
GDI,18,1,4,2,1,5236,3,1,3,[13],[-1],2,"[3,9]","[-1,-1]",0,True
Moe,18,3,4,2,1,5236,3,1,3,"[11,13,14]","[1,1,-1]",2,"[2,3]","[-1,1]",0,True
mlcp,18,1,4,2,1,5236,3,1,3,[11],[-1],2,"[7,15]","[1,-1]",0,True
mlc,18,3,4,2,1,5236,3,1,3,"[11,14,15]","[1,-1,1]",1,[1],[1],0,True
Actin,18,2,4,2,1,5236,1,3,3,"[13,16]","[1,1]",1,[13],[1],0,True
Twi,18,2,4,3,2,5237,2,2,4,"[0,1]","[1,1]",1,[8],[1],0,True
Sna,18,1,4,3,2,5237,2,2,4,[0],[1],2,"[3,7]","[1,1]",0,True
Fog,18,2,4,3,2,5237,1,3,3,"[1,2]","[1,1]",1,[3],[-1],0,True
FogR,18,1,4,3,2,5237,3,1,3,[3],[1],2,"[10,13]","[-1,-1]",0,True
Cta,18,1,4,3,2,5237,2,2,4,[4],[1],1,[4],[1],0,True
GEF,18,1,4,3,2,5237,1,3,3,[5],[1],1,[3],[-1],0,True
Csk,18,1,4,3,2,5237,1,3,3,[5],[1],1,[5],[1],0,True
Src,18,1,4,3,2,5237,1,3,3,[7],[-1],2,"[6,14]","[1,1]",0,True
GAP,18,2,4,3,2,5237,1,3,3,"[8,9]","[1,1]",3,"[10,11,16]","[1,-1,-1]",0,True
Rho,18,3,4,3,2,5237,3,1,3,"[6,9,12]","[1,-1,-1]",1,[5],[-1],0,True
rock,18,1,4,3,2,5237,3,1,3,[10],[1],1,[1],[1],0,True
GDI,18,1,4,3,2,5237,2,2,4,[13],[-1],2,"[9,14]","[-1,-1]",0,True
Moe,18,3,4,3,2,5237,3,1,3,"[11,13,14]","[1,1,-1]",2,"[2,6]","[1,1]",0,True
mlcp,18,1,4,3,2,5237,3,1,3,[11],[-1],1,[3],[1],0,True
mlc,18,3,4,3,2,5237,2,2,4,"[11,14,15]","[1,-1,1]",2,"[5,14]","[1,-1]",0,True
Actin,18,2,4,3,2,5237,3,1,3,"[13,16]","[1,1]",1,[14],[1],0,True
Twi,18,2,4,4,3,5238,2,2,4,"[0,1]","[1,1]",2,"[1,14]","[1,1]",0,True
Sna,18,1,4,4,3,5238,2,2,4,[0],[1],2,"[1,14]","[1,1]",0,True
Fog,18,2,4,4,3,5238,2,2,4,"[1,2]","[1,1]",1,[15],[1],0,True
FogR,18,1,4,4,3,5238,2,2,4,[3],[1],1,[3],[1],0,True
Cta,18,1,4,4,3,5238,1,3,3,[4],[1],1,[4],[1],0,True
GEF,18,1,4,4,3,5238,1,3,3,[5],[1],2,"[2,12]","[1,1]",0,True
Csk,18,1,4,4,3,5238,1,3,3,[5],[1],1,[7],[1],0,True
Src,18,1,4,4,3,5238,3,1,3,[7],[-1],1,[4],[-1],0,True
GAP,18,2,4,4,3,5238,1,3,3,"[8,9]","[1,1]",2,"[12,15]","[1,1]",0,True
Rho,18,3,4,4,3,5238,3,1,3,"[6,9,12]","[1,-1,-1]",2,"[0,15]","[-1,-1]",0,True
rock,18,1,4,4,3,5238,3,1,3,[10],[1],2,"[12,17]","[1,-1]",0,True
