n,m,tb_count,seed_min,seed_max,F0_size,F1_size,d,time_mean,time_std,time_median,time_min,time_max,time_cv,restarts_mean,restarts_std,restarts_median,restarts_min,restarts_max,sigma_weight_mean,sigma_weight_std,sigma_weight_median,sigma_weight_min,sigma_weight_max,num_found,num_not_found,found_rate
500,50,10,50051235,50051244,25,25,625,1.1921,0.0579,1.1846,1.0984,1.2848,0.0486,0.0000,0.0000,0.0000,0,0,13.2000,0.7888,13.0000,12,14,10,0,1.0000
500,100,10,50101235,50101244,50,50,2500,4.9326,0.1803,4.9703,4.5821,5.1589,0.0366,0.0000,0.0000,0.0000,0,0,18.0000,0.9428,18.0000,16,19,10,0,1.0000
500,150,10,50151235,50151244,75,75,5625,17.1410,0.7374,16.9310,16.2956,18.8463,0.0430,0.0000,0.0000,0.0000,0,0,20.4000,1.1738,20.0000,19,23,10,0,1.0000
500,200,10,50201235,50201244,100,100,10000,50.1865,2.5443,50.4124,47.5137,53.7337,0.0507,0.0000,0.0000,0.0000,0,0,22.3000,1.2517,22.5000,21,24,10,0,1.0000
500,250,10,50251235,50251244,125,125,15625,123.4986,3.2256,123.5039,118.4816,128.3549,0.0261,0.0000,0.0000,0.0000,0,0,24.0000,0.6667,24.0000,23,25,10,0,1.0000
500,300,10,50301235,50301244,150,150,22500,268.0982,9.6588,268.3670,257.3364,278.8208,0.0360,0.0000,0.0000,0.0000,0,0,26.0000,0.9428,26.0000,25,27,10,0,1.0000
1000,50,10,100051235,100051244,25,25,625,2.2495,0.1502,2.2304,2.0328,2.4791,0.0668,0.0000,0.0000,0.0000,0,0,12.9000,1.2867,12.0000,12,15,10,0,1.0000
1000,100,10,100101235,100101244,50,50,2500,7.9818,0.3490,8.0839,7.3686,8.4295,0.0437,0.0000,0.0000,0.0000,0,0,17.2000,1.4757,17.5000,15,19,10,0,1.0000
1000,150,10,100151235,100151244,75,75,5625,23.8565,1.1014,23.7965,22.7250,26.1288,0.0462,0.0000,0.0000,0.0000,0,0,20.6000,1.5776,20.5000,19,24,10,0,1.0000
1000,200,10,100201235,100201244,100,100,10000,62.9507,3.5442,62.0781,57.5980,70.6126,0.0563,0.0000,0.0000,0.0000,0,0,22.5000,1.6499,22.0000,20,26,10,0,1.0000
1000,250,10,100251235,100251244,125,125,15625,146.8436,9.0840,147.9950,129.8576,160.8180,0.0619,0.0000,0.0000,0.0000,0,0,24.3000,1.7670,24.5000,21,27,10,0,1.0000
1000,300,10,100301235,100301244,150,150,22500,297.6499,11.5427,294.8777,283.0072,316.7915,0.0388,0.0000,0.0000,0.0000,0,0,25.3000,1.0593,25.0000,24,27,10,0,1.0000
2000,50,10,200051235,200051244,25,25,625,4.7731,0.2361,4.6950,4.5351,5.2020,0.0495,0.0000,0.0000,0.0000,0,0,13.1000,1.1972,13.0000,12,16,10,0,1.0000
2000,100,10,200101235,200101244,50,50,2500,14.9649,0.4016,14.9007,14.2504,15.5997,0.0268,0.0000,0.0000,0.0000,0,0,18.3000,1.1595,18.0000,17,21,10,0,1.0000
2000,150,10,200151235,200151244,75,75,5625,37.9212,1.6147,38.2883,35.3730,40.5178,0.0426,0.0000,0.0000,0.0000,0,0,21.2000,1.5492,22.0000,19,23,10,0,1.0000
2000,200,10,200201235,200201244,100,100,10000,85.7886,2.4673,86.5812,81.4588,89.0528,0.0288,0.0000,0.0000,0.0000,0,0,22.6000,0.9661,23.0000,21,24,10,0,1.0000
2000,250,10,200251235,200251244,125,125,15625,180.1508,5.1117,180.9779,169.9687,187.0307,0.0284,0.0000,0.0000,0.0000,0,0,23.8000,0.9189,24.0000,22,25,10,0,1.0000
