k,m,n,n_nodes,tb_total,run_count,found_count,not_found_count,found_rate,F0_size_mean,F1_size_mean,d_mean,support_recall_mean,support_recall_sd_nodes,support_recall_se_nodes,support_precision_mean,support_precision_sd_nodes,support_precision_se_nodes,signed_recall_mean,signed_recall_sd_nodes,signed_recall_se_nodes,signed_precision_mean,signed_precision_sd_nodes,signed_precision_se_nodes,support_tp_total,signed_tp_total,sign_accuracy_global,sign_errors_total,sign_error_runs,sign_error_run_rate,exact_support_count,exact_signed_count,exact_support_but_not_signed,exact_support_rate,exact_signed_rate,false_positives_mean,false_negatives_mean,sigma_weight_mean,sigma_weight_sd_nodes,sigma_weight_se_nodes,sigma_weight_median,sigma_weight_max,weight_ratio_mean,weight_ratio_sd_nodes,weight_ratio_se_nodes,weight_ratio_median,weight_ratio_max,restarts_mean,restarts_median,restarts_q90,restarts_max
1,4,18,9,180,180,180,0,1.000000,2.094444,1.905556,3.383333,0.161111,0.082074,0.027358,0.161111,0.082074,0.027358,0.161111,0.082074,0.027358,0.161111,0.082074,0.027358,29,29,1.000000,0,0,0.000000,29,29,0,0.161111,0.161111,1.383333,0.838889,1.544444,0.101379,0.033793,1.000000,3,1.544444,0.101379,0.033793,1.000000,3.000000,0.000000,0.000000,0.000000,0
1,8,18,9,180,180,180,0,1.000000,4.016667,3.983333,13.794444,0.511111,0.089365,0.029788,0.511111,0.089365,0.029788,0.511111,0.089365,0.029788,0.511111,0.089365,0.029788,92,92,1.000000,0,0,0.000000,92,92,0,0.511111,0.511111,1.494444,0.488889,2.005556,0.236438,0.078813,1.500000,5,2.005556,0.236438,0.078813,1.500000,5.000000,0.000000,0.000000,0.000000,0
1,16,18,9,180,180,180,0,1.000000,8.011111,7.988889,60.333333,0.788889,0.096105,0.032035,0.788889,0.096105,0.032035,0.788889,0.096105,0.032035,0.788889,0.096105,0.032035,142,142,1.000000,0,0,0.000000,142,142,0,0.788889,0.788889,1.027778,0.211111,1.816667,0.397649,0.132550,1.000000,7,1.816667,0.397649,0.132550,1.000000,7.000000,0.000000,0.000000,0.000000,0
1,32,18,9,180,180,180,0,1.000000,15.933333,16.066667,247.844444,0.950000,0.043301,0.014434,0.950000,0.043301,0.014434,0.950000,0.043301,0.014434,0.950000,0.043301,0.014434,171,171,1.000000,0,0,0.000000,171,171,0,0.950000,0.950000,0.411111,0.050000,1.361111,0.312027,0.104009,1.000000,10,1.361111,0.312027,0.104009,1.000000,10.000000,0.005556,0.000000,0.000000,1
2,4,18,4,80,80,80,0,1.000000,1.825000,2.175000,3.375000,0.150000,0.020412,0.010206,0.237500,0.043301,0.021651,0.150000,0.020412,0.010206,0.237500,0.043301,0.021651,24,24,1.000000,0,0,0.000000,1,1,0,0.012500,0.012500,1.150000,1.700000,1.450000,0.081650,0.040825,1.000000,3,0.725000,0.040825,0.020412,0.500000,1.500000,0.000000,0.000000,0.000000,0
2,8,18,4,80,80,80,0,1.000000,3.137500,4.862500,11.987500,0.193750,0.023936,0.011968,0.196875,0.047796,0.023898,0.193750,0.023936,0.011968,0.196875,0.047796,0.023898,31,31,1.000000,0,0,0.000000,3,3,0,0.037500,0.037500,2.100000,1.612500,2.487500,0.154785,0.077392,2.000000,4,1.243750,0.077392,0.038696,1.000000,2.000000,0.000000,0.000000,0.000000,0
2,16,18,4,80,80,80,0,1.000000,5.862500,10.137500,44.062500,0.462500,0.092421,0.046211,0.350119,0.070296,0.035148,0.462500,0.092421,0.046211,0.350119,0.070296,0.035148,74,74,1.000000,0,0,0.000000,16,16,0,0.200000,0.200000,2.587500,1.075000,3.512500,0.143614,0.071807,3.750000,7,1.756250,0.071807,0.035904,1.875000,3.500000,0.000000,0.000000,0.000000,0
2,32,18,4,80,80,80,0,1.000000,12.212500,19.787500,189.137500,0.775000,0.054006,0.027003,0.636032,0.095300,0.047650,0.775000,0.054006,0.027003,0.636032,0.095300,0.047650,124,124,1.000000,0,0,0.000000,44,44,0,0.550000,0.550000,2.050000,0.450000,3.600000,0.664580,0.332290,2.500000,9,1.800000,0.332290,0.166145,1.250000,4.500000,0.000000,0.000000,0.000000,0
3,4,18,3,60,60,60,0,1.000000,2.683333,1.316667,3.316667,0.116667,0.028868,0.016667,0.266667,0.080364,0.046398,0.116667,0.028868,0.016667,0.266667,0.080364,0.046398,21,21,1.000000,0,0,0.000000,0,0,0,0.000000,0.000000,1.083333,2.650000,1.433333,0.076376,0.044096,1.000000,3,0.477778,0.025459,0.014699,0.333333,1.000000,0.000000,0.000000,0.000000,0
3,8,18,3,60,60,60,0,1.000000,6.450000,1.550000,9.616667,0.144444,0.053576,0.030932,0.220833,0.105162,0.060715,0.144444,0.053576,0.030932,0.220833,0.105162,0.060715,26,26,1.000000,0,0,0.000000,0,0,0,0.000000,0.000000,1.883333,2.566667,2.316667,0.104083,0.060093,2.000000,5,0.772222,0.034694,0.020031,0.666667,1.666667,0.000000,0.000000,0.000000,0
